DT,distance(Km),heart,pace
2019-03-29 21:49:01,3.25,148,6:31
2019-03-30 21:16:43,3.23,157,6:22
2019-03-31 21:08:19,3.31,155,6:24
2019-04-05 20:18:09,3.44,158,6:15
2019-04-06 21:17:29,3.45,162,6:19
2019-04-07 20:52:36,3.44,162,6:27
2019-04-12 21:20:45,3.28,150,6:47
2019-04-13 20:45:22,3.48,148,6:16
2019-04-14 20:57:29,1.62,138,6:15
2019-04-19 22:06:30,3.41,131,6:08
2019-04-21 20:49:18,3.20,159,6:43
2019-04-26 21:59:45,3.24,149,6:44
2019-04-27 20:53:28,3.29,156,5:55
2019-05-02 20:58:28,3.36,139,6:12
2019-05-03 21:04:09,3.57,139,5:58
2019-05-12 21:56:45,2.78,162,7:54
2019-06-17 22:00:15,1.45,98,11:06
2019-08-13 19:26:11,4.96,137,8:57
2019-08-14 19:21:18,5.01,158,6:41
2019-08-19 18:46:17,3.35,168,6:28
2019-08-20 19:18:23,5.03,151,6:39
2019-08-21 19:09:18,5.00,152,7:02
2019-08-22 19:29:26,3.33,146,7:01
2019-08-27 19:30:39,5.00,149,7:27
2019-08-28 19:31:21,3.35,120,8:53
2019-08-29 19:22:56,3.30,144,6:18
2019-09-02 19:32:08,1.47,142,6:12
2019-09-02 19:43:24,3.11,153,6:38
2019-09-04 19:36:43,0.07,90,8:33
2019-09-04 19:37:42,5.01,146,6:29
2019-09-10 19:27:50,3.21,151,6:09
2019-09-11 19:27:23,3.32,134,5:40
2019-09-16 19:29:33,3.34,135,6:11
2019-09-17 19:29:29,3.31,125,6:25
2019-09-18 19:29:14,4.07,141,6:07
2019-09-19 19:25:21,3.21,126,7:10
2019-09-23 19:28:46,3.32,125,6:02
2019-09-24 19:42:51,4.98,136,7:29
2019-09-25 19:37:37,3.32,141,6:43
2019-11-06 19:16:29,5.00,137,7:40
2020-07-01 19:21:39,5.33,144,7:55
2020-08-18 09:34:25,0.18,88,12:02
2021-05-20 19:08:37,3.35,151,7:03
2021-05-24 18:56:15,3.15,136,6:49
2021-05-26 19:06:52,3.20,146,6:46
2021-05-28 19:11:10,3.34,127,8:44
2021-06-07 18:56:56,3.28,154,6:55
2021-06-10 19:11:48,3.33,142,6:37
2021-06-11 19:01:02,3.31,153,6:26
2021-06-21 19:03:48,3.33,152,6:28
2021-06-23 19:15:37,3.19,154,6:40
2021-06-24 19:25:25,3.23,119,9:54
